end_date,age_grp,daily_cases,weekly_cases,pop,prop_cases
Mar 21,0 to 19,0,4,1752893,0.00228194190974577
Mar 21,20 to 29,8,25,930073,0.0268796105251953
Mar 21,30 to 39,5,23,844497,0.0272351470757149
Mar 21,40 to 49,8,29,815370,0.0355666752517262
Mar 21,50 to 59,17,40,871660,0.0458894523093867
Mar 21,60 to 69,16,31,772889,0.0401092524282271
Mar 21,70 to 79,15,23,450969,0.0510012883368923
Mar 21,80 and older,6,12,253527,0.0473322368031807
Mar 28,0 to 19,2,16,1752893,0.0091277676389831
Mar 28,20 to 29,24,132,930073,0.141924343573031
Mar 28,30 to 39,34,192,844497,0.22735427124075
Mar 28,40 to 49,40,208,815370,0.255098912150312
Mar 28,50 to 59,62,241,871660,0.276483950164055
Mar 28,60 to 69,52,242,772889,0.313110938310676
Mar 28,70 to 79,44,169,450969,0.374748596910209
Mar 28,80 and older,31,109,253527,0.429934484295558
Apr 04,0 to 19,6,48,1752893,0.0273833029169493
Apr 04,20 to 29,51,300,930073,0.322555326302344
Apr 04,30 to 39,71,394,844497,0.46654991077529
Apr 04,40 to 49,76,504,815370,0.618124287133449
Apr 04,50 to 59,96,595,871660,0.682605603102127
Apr 04,60 to 69,79,488,772889,0.631397264031446
Apr 04,70 to 79,41,318,450969,0.705148247440511
Apr 04,80 and older,41,227,253527,0.895368146193502
Apr 11,0 to 19,12,59,1752893,0.0336586431687502
Apr 11,20 to 29,56,369,930073,0.396743051351883
Apr 11,30 to 39,50,466,844497,0.551807762490571
Apr 11,40 to 49,86,597,815370,0.732182935354502
Apr 11,50 to 59,84,706,871660,0.809948833260675
Apr 11,60 to 69,80,579,772889,0.74913732761108
Apr 11,70 to 79,46,340,450969,0.753932088458408
Apr 11,80 and older,72,367,253527,1.44757757556394
Apr 18,0 to 19,11,84,1752893,0.0479207801046613
Apr 18,20 to 29,58,370,930073,0.397818235772891
Apr 18,30 to 39,77,478,844497,0.566017404443118
Apr 18,40 to 49,100,552,815370,0.676993266860444
Apr 18,50 to 59,109,600,871660,0.6883417846408
Apr 18,60 to 69,75,461,772889,0.596463399013312
Apr 18,70 to 79,49,302,450969,0.669669090336586
Apr 18,80 and older,77,407,253527,1.60535169824121
Apr 25,0 to 19,13,121,1752893,0.0690287427698097
Apr 25,20 to 29,115,505,930073,0.542968132608946
Apr 25,30 to 39,118,558,844497,0.660748350793431
Apr 25,40 to 49,138,706,815370,0.865864576817886
Apr 25,50 to 59,137,659,871660,0.756028726797146
Apr 25,60 to 69,60,481,772889,0.622340336063782
Apr 25,70 to 79,16,311,450969,0.689626116207544
Apr 25,80 and older,27,466,253527,1.83806852919018
