date,deaths_total,hosp_total,death_rate
2020-11-24,3592,24210,0.148368442792235
2020-11-26,3623,24567,0.147474254080677
2020-11-27,3669,24933,0.147154373721574
2020-11-28,3726,25322,0.147144775294211
2020-11-29,3751,25625,0.146380487804878
2020-11-30,3790,26011,0.145707585252393
2020-12-01,3824,26417,0.144755271226862
2020-12-03,3934,27229,0.144478313562746
2020-12-04,4001,27665,0.144623170070486
2020-12-05,4118,28360,0.145204513399154
2020-12-07,4150,28636,0.144922475206034
2020-12-08,4255,29405,0.144703281754804
2020-12-10,4296,29736,0.144471347861178
2020-12-12,4393,30526,0.143910109414925
2020-12-13,4455,31028,0.143579992265051
2020-12-15,4601,31314,0.146931085137638
2020-12-16,4638,31565,0.146934896245842
2020-12-17,4675,31810,0.146966362779
2020-12-18,4758,32260,0.147489150650961
2020-12-20,4779,32485,0.14711405263968
2020-12-21,4804,32699,0.146915807822869
2020-12-23,4893,33203,0.147366201849231
2020-12-24,4920,33454,0.147067615232857
2020-12-25,4973,33824,0.14702578051088
2020-12-27,5206,34090,0.152713405690818
2020-12-28,5234,34260,0.152772913018097
2020-12-29,5322,34749,0.15315548648882
2020-12-30,5360,34986,0.153204138798377
2020-12-31,5393,35197,0.153223286075518
2021-01-03,5453,35633,0.153032301518256
2021-01-05,5522,36108,0.15293009859311
2021-01-06,5560,36301,0.153163824688025
2021-01-07,5741,36753,0.156204935651512
2021-01-09,5769,36946,0.156146808856169
2021-01-11,5842,37275,0.156727028839705
2021-01-13,5906,37666,0.156799235384697
2021-01-14,5941,37855,0.156940958922203
2021-01-16,5988,38253,0.156536742216297
2021-01-17,6019,38385,0.156806044027615
2021-01-18,6039,38531,0.156730943915289
2021-01-19,6088,38844,0.156729482030687
2021-01-21,6120,39032,0.156794425087108
2021-01-22,6151,39229,0.156797267327742
2021-01-23,6173,39383,0.156742757027144
2021-01-24,6193,39492,0.156816570444647
2021-01-25,6204,39596,0.156682493181129
2021-01-26,6234,39740,0.156869652742828
2021-01-27,6264,39881,0.157067275143552
2021-01-28,6302,40005,0.157530308711411
2021-01-30,6346,40253,0.157652845750627
2021-01-31,6357,40335,0.157605057642246
2021-02-02,6409,40557,0.158024508716128
2021-02-03,6430,40654,0.158164018300782
2021-02-04,6453,40761,0.158313093398101
2021-02-05,6474,40878,0.158373697343314
2021-02-06,6491,40958,0.158479417940329
2021-02-07,6502,41021,0.158504180785451
2021-02-08,6791,41194,0.164854104966743
2021-02-10,6815,41279,0.165096053683471
2021-02-11,6874,41365,0.166179136951529
2021-02-12,6890,41446,0.166240409207161
2021-02-13,6944,41517,0.167256786376665
2021-02-15,7062,41633,0.169625057046093
2021-02-16,7147,41826,0.170874575622818
2021-02-17,7192,42072,0.170945046586804
2021-02-18,7236,42232,0.171339268800909
2021-02-19,7259,42319,0.171530518206952
2021-02-20,7311,42364,0.172575771881786
2021-02-21,7342,42431,0.173033866748368
2021-02-23,7384,42543,0.173565568953764
2021-02-24,7395,42621,0.173506018160062
2021-02-25,7424,42658,0.174035350930658
2021-02-26,7458,42694,0.174684967442732
2021-02-28,7512,42761,0.17567409555436
2021-03-01,7538,42801,0.176117380435037
2021-03-03,7566,42941,0.176195244637992
2021-03-04,7615,43090,0.176723137618937
2021-03-06,7643,43138,0.177175576058232
2021-03-07,7649,43202,0.177051988333873
2021-03-08,7655,43248,0.177002404735479
2021-03-09,8139,46584,0.174716640906749
2021-03-11,8159,46645,0.174916925715511
2021-03-12,8169,46693,0.174951277493414
2021-03-13,7905,46729,0.169166898499861
