date,msa,geo_value,cases_100k,start_date,pos_rate,data_date
2020-04-02,Bloomington,14020,2.9545588843586,,,2021-09-16
2020-04-03,Bloomington,14020,3.3766387249812,,,2021-09-16
2020-04-04,Bloomington,14020,2.9545588843586,2020-03-29,0.109154929577465,2021-09-16
2020-04-05,Bloomington,14020,2.701310979985,,,2021-09-16
2020-04-06,Bloomington,14020,2.5324790437359,,,2021-09-16
2020-04-07,Bloomington,14020,2.5324790437359,,,2021-09-16
2020-04-08,Bloomington,14020,2.701310979985,,,2021-09-16
2020-04-09,Bloomington,14020,2.5324790437359,,,2021-09-16
2020-04-10,Bloomington,14020,2.9545588843586,,,2021-09-16
2020-04-11,Bloomington,14020,2.9545588843586,2020-04-05,0.125412541254125,2021-09-16
2020-04-12,Bloomington,14020,3.2922227568567,,,2021-09-16
2020-04-13,Bloomington,14020,3.3766387249812,,,2021-09-16
2020-04-14,Bloomington,14020,3.2922227568567,,,2021-09-16
2020-04-15,Bloomington,14020,3.1233908206076,,,2021-09-16
2020-04-16,Bloomington,14020,3.7987185656039,,,2021-09-16
2020-04-17,Bloomington,14020,3.4610546931057,,,2021-09-16
2020-04-18,Bloomington,14020,3.4610546931057,2020-04-12,0.111486486486486,2021-09-16
2020-04-19,Bloomington,14020,2.7857269481095,,,2021-09-16
2020-04-20,Bloomington,14020,2.4480630756114,,,2021-09-16
2020-04-21,Bloomington,14020,2.2792311393623,,,2021-09-16
2020-04-22,Bloomington,14020,2.1948151712378,,,2021-09-16
2020-04-23,Bloomington,14020,1.435071458117,,,2021-09-16
2020-04-24,Bloomington,14020,0.92857564936983,,,2021-09-16
2020-04-25,Bloomington,14020,0.67532774499624,2020-04-19,0.0283400809716599,2021-09-16
2020-04-26,Bloomington,14020,0.59091177687171,,,2021-09-16
2020-04-27,Bloomington,14020,0.59091177687171,,,2021-09-16
2020-04-28,Bloomington,14020,0.59091177687171,,,2021-09-16
2020-04-29,Bloomington,14020,0.33766387249812,,,2021-09-16
2020-04-30,Bloomington,14020,0.50649580874718,,,2021-09-16
2020-05-01,Bloomington,14020,0.75974371312077,,,2021-09-16
2020-05-02,Bloomington,14020,1.0129916174944,2020-04-26,0.0232558139534884,2021-09-16
2020-05-03,Bloomington,14020,1.0129916174944,,,2021-09-16
2020-05-04,Bloomington,14020,1.0974075856189,,,2021-09-16
2020-05-05,Bloomington,14020,1.0129916174944,,,2021-09-16
2020-05-06,Bloomington,14020,1.266239521868,,,2021-09-16
2020-05-07,Bloomington,14020,1.266239521868,,,2021-09-16
2020-05-08,Bloomington,14020,1.5194874262415,,,2021-09-16
2020-05-09,Bloomington,14020,1.266239521868,2020-05-03,0.0232945091514143,2021-09-16
2020-05-10,Bloomington,14020,1.3506554899925,,,2021-09-16
2020-05-11,Bloomington,14020,1.3506554899925,,,2021-09-16
2020-05-12,Bloomington,14020,1.266239521868,,,2021-09-16
2020-05-13,Bloomington,14020,1.0129916174944,,,2021-09-16
2020-05-14,Bloomington,14020,0.8441596812453,,,2021-09-16
2020-05-15,Bloomington,14020,0.33766387249812,,,2021-09-16
2020-05-16,Bloomington,14020,0.16883193624906,2020-05-10,0.0111524163568773,2021-09-16
2020-05-17,Bloomington,14020,0.50649580874718,,,2021-09-16
2020-05-18,Bloomington,14020,0.42207984062265,,,2021-09-16
2020-05-19,Bloomington,14020,0.67532774499624,,,2021-09-16
2020-05-20,Bloomington,14020,0.92857564936983,,,2021-09-16
2020-05-21,Bloomington,14020,1.1818235537434,,,2021-09-16
2020-05-22,Bloomington,14020,1.266239521868,,,2021-09-16
2020-05-23,Bloomington,14020,1.435071458117,2020-05-17,0.0171503957783641,2021-09-16
2020-05-24,Bloomington,14020,1.0974075856189,,,2021-09-16
2020-05-25,Bloomington,14020,1.266239521868,,,2021-09-16
2020-05-26,Bloomington,14020,1.266239521868,,,2021-09-16
2020-05-27,Bloomington,14020,1.1818235537434,,,2021-09-16
2020-05-28,Bloomington,14020,1.1818235537434,,,2021-09-16
2020-05-29,Bloomington,14020,1.1818235537434,,,2021-09-16
2020-05-30,Bloomington,14020,1.0129916174944,2020-05-24,0.0121703853955375,2021-09-16
2020-05-31,Bloomington,14020,0.92857564936983,,,2021-09-16
2020-06-01,Bloomington,14020,0.75974371312077,,,2021-09-16
2020-06-02,Bloomington,14020,0.75974371312077,,,2021-09-16
2020-06-03,Bloomington,14020,0.67532774499624,,,2021-09-16
2020-06-04,Bloomington,14020,0.42207984062265,,,2021-09-16
2020-06-05,Bloomington,14020,0.42207984062265,,,2021-09-16
